bottleneck_dir,top-primary-color-white,top-primary-color-beige,top-primary-color-black,top-primary-color-brown,top-primary-color-grey,top-primary-color-blue,top-primary-color-navy,top-primary-color-teal,top-primary-color-green,top-primary-color-olive,top-primary-color-pink,top-primary-color-red,top-primary-color-maroon,top-primary-color-purple,top-primary-color-orange,top-primary-color-yellow,top-secondary-color-white,top-secondary-color-beige,top-secondary-color-black,top-secondary-color-brown,top-secondary-color-grey,top-secondary-color-blue,top-secondary-color-navy,top-secondary-color-teal,top-secondary-color-green,top-secondary-color-olive,top-secondary-color-pink,top-secondary-color-red,top-secondary-color-maroon,top-secondary-color-purple,top-secondary-color-orange,top-secondary-color-yellow,top-secondary-color-none,top-type-short-sleeve-t-shirt,top-type-long-sleeve-t-shirt,top-type-short-sleeve-shirt,top-type-long-sleeve-shirt,top-type-singlet,top-type-polo,t-shirt-style-graphic-text,t-shirt-style-graphic-image,t-shirt-style-round-neck,t-shirt-style-henley,t-shirt-style-pocket,t-shirt-fit-slim-fit,t-shirt-fit-longline,t-shirt-fit-baggy,t-shirt-fit-regular,shirt-style-oxford,shirt-style-dress,shirt-style-graphic,shirt-style-pocket,shirt-style-granddad-collar,shirt-fit-slim-fit,shirt-fit-regular-fit,top-patterns-animal-print,top-patterns-argyle,top-patterns-horizontal-stripe,top-patterns-vertical-stripe,top-patterns-checkered,top-patterns-dotted,top-patterns-floral,top-patterns-plaid,top-material-denim,top-material-dry-fit,top-material-cotton
bottlenecks/Clean clothes/Tops/graphictshirts654.jpg.txt,0.845442414,0.01075232,0.006917239,0.001093966,0.006555971,0.042750508,0.009710273,0.055259466,0.00511469,0.001307764,0.001794354,0.002002978,0.00067818,0.003654175,0.004620566,0.002345292,0.032897644,0.001174629,0.202316642,0.002965111,0.028008301,0.019420294,0.082720444,0.030860417,0.022798834,0.010207615,0.002761443,0.020578809,0.006944518,0.011173704,0.070289277,0.080212571,0.374669731,0.989294291,0.003076241,0.000388194,4.87E-06,0.001611103,0.005625299,0.083577968,0.26258564,0.926543891,0.004502475,0.139046386,0.197467119,0.079983302,0.07575468,0.646794915,0,0,0,0,0,0,0,0.001406853,0.008531927,0.00298509,0.001918301,0.00244454,0.009068838,0.005054,0.000284904,0.001545825,0.005122698,0.993331492
bottlenecks/Clean clothes/Tops/plainshirts354.jpg.txt,0.022679968,0.008629848,0.009138732,0.023690442,0.006998255,0.040606808,0.066842519,0.018740861,0.009195086,0.008031515,0.58768177,0.077215172,0.042962905,0.073035821,0.003813233,0.000737215,0.002036563,0.000645103,0.000161307,0.000856462,0.000221256,0.000541307,0.001413423,0.000111746,0.000067947,6.86E-05,3.10E-06,0.000332946,0.000108452,0.000042915,0.000126903,0.000679149,0.992582917,5.99E-05,0.005817914,0.04354519,0.94999671,4.12E-05,0.000539169,0,0,0,0,0,0,0,0,0,0.446661383,0.184785381,0.001939409,0.126747191,0.059878096,0.974082112,0.025917878,0.004443804,0.001401166,0.009324378,0.015659437,0.00369031,0.046553791,0.003246005,0.000268059,0.061497483,0.012586674,0.925915897
bottlenecks/Clean clothes/Tops/singlets59.jpg.txt,0.06740167,0.054618944,0.073028296,0.013450489,0.34576115,0.051901307,0.021049006,0.002020806,0.002786104,0.006067365,0.001533453,0.251825243,0.013093928,0.006012036,0.08662919,0.002821065,0.45606041,0.00344503,0.26526171,0.001144611,0.009325954,0.024652205,0.007370264,0.000116031,0.023285899,0.000557141,0.000354354,0.041883495,0.000215274,0.001435943,0.00124011,0.000191822,0.163459808,0.031189434,0.000502461,0.000339487,0.000023881,0.961939931,0.006004841,0.01873754,0.068213813,0.272755921,0.003002344,0.026969368,0.153840482,0.147052825,0.095095575,0.604011059,0,0,0,0,0,0,0,0.000492684,0.000938059,0.951269686,0.077370867,0.006584944,0.070885636,0.007660259,0.001665431,0.002165192,0.008800292,0.989034534
bottlenecks/Clean clothes/Tops/polos278.jpg.txt,0.001986986,0.006050718,0.011421827,0.003939433,0.917523682,0.036186639,0.01101002,0.0029225,0.000409904,0.002604695,0.001060357,0.001541672,0.000515393,0.002625294,0.00012543,7.54E-05,0.364333838,0.003939835,0.406200439,0.003463536,0.061879333,0.055932969,0.006721139,0.002604673,0.007324952,0.001296148,0.000885516,0.017216602,0.001825141,0.006737773,0.006254092,0.001461948,0.0519219,0.706727982,0.017171927,0.00011396,1.19E-06,0.000520895,0.275464028,0.018453835,0.047418505,0.938054562,0.003711145,0.117661975,0.095967807,0.026332848,0.012956278,0.864743054,0,0,0,0,0,0,0,0.001087953,0.001482713,0.545132041,0.003697623,0.008676843,0.020589499,0.00490789,0.000043112,0.00222905,0.004702613,0.993068337
bottlenecks/Clean clothes/Tops/graphictshirts448.jpg.txt,0.027702792,0.040769078,0.161267579,0.05055758,0.147404611,0.021073727,0.107655875,0.02638749,0.010834415,0.012083009,0.234637588,0.038838215,0.013388123,0.101396009,0.001192767,0.004811109,0.189876124,0.000948579,0.078502037,0.034214698,0.084811352,0.031364672,0.010329763,0.097056955,0.011560977,0.00858649,0.002844602,0.009624082,0.004679885,0.011467223,0.026867418,0.003222496,0.394042671,0.994084954,0.001442113,0.000240076,5.68E-07,0.001972819,0.002259409,0.090764836,0.099138126,0.964496493,0.019302245,0.053325679,0.117450878,0.163955659,0.04870237,0.669891059,0,0,0,0,0,0,0,0.001692801,0.001621321,0.037755206,0.007100878,0.004796637,0.015142345,0.00597474,0.000401143,0.009225291,0.007574303,0.983200431
bottlenecks/Clean clothes/Tops/polos365.jpg.txt,0.889644623,0.055137049,0.000120397,1.48E-05,0.00107371,0.035251722,0.0011855,0.001691379,0.002429661,4.69E-05,0.010520361,0.001221503,0.000501763,0.000335481,9.31E-05,0.000732127,0.009982376,0.000442946,0.044916604,1.32E-05,0.001784043,0.001426525,0.000947288,0.000423516,6.44E-05,0.000262561,0.000113348,0.002610693,0.000088895,0.000342652,0.002998797,0.003557941,0.930024207,0.251212895,0.000158779,0.647965848,0.05841748,0.000582543,0.041662514,0,0,0,0,0,0,0,0,0,0.2709319,0.095620349,0.000404477,0.53654623,0.00905936,0.959814966,0.04018509,0.001651021,0.001100772,0.029274119,0.052749455,0.023472685,0.042703707,0.012417316,0.002625425,0.003420125,0.000792044,0.995787799
bottlenecks/Clean clothes/Tops/longsleevetshirts9.jpg.txt,0.7189098,0.010837681,0.061883386,0.002559412,0.041512951,0.040546395,0.066708773,0.015883558,0.001585906,0.000853338,0.000434426,0.004394628,0.002425715,0.010855307,0.018887555,0.001721311,0.031278085,0.0008149,0.286221445,0.007526137,0.005006026,0.034883242,0.048388023,0.209689051,0.143944249,0.002000376,0.000272594,0.125483617,0.0027835,0.023904834,0.032483082,0.011443181,0.033877648,0.092128612,0.888417363,3.94E-05,3.07E-05,0.009624659,0.009759268,0.971707583,0.07803043,0.939939141,0.003870192,0.02306371,0.075972401,0.155943304,0.026682966,0.741401374,0,0,0,0,0,0,0,0.002165632,0.004752782,0.043330465,0.01207002,0.006015086,0.005061708,0.000826334,0.000358989,0.001724922,0.018059095,0.980215967
bottlenecks/Clean clothes/Tops/graphictshirts1357.jpg.txt,0.086546443,0.161974341,0.010036476,0.004072396,0.681964755,0.001947642,0.024158271,0.005609298,0.000985655,0.006516326,0.004249663,0.005271549,0.002841201,0.002715441,0.000656643,0.000453937,0.059376027,0.002533035,0.789376438,0.002768243,0.027163182,0.00052244,0.002699469,0.000111202,0.004943821,0.001215693,0.000865538,0.011332112,0.000687319,0.000993045,0.0004825,0.000273336,0.094656676,0.954368174,0.006708536,0.001102581,7.70E-05,0.000803076,0.036940612,0.010722585,0.160946131,0.835125208,0.018580589,0.070113145,0.039970845,0.153849214,0.041252695,0.764927208,0,0,0,0,0,0,0,0.003748593,0.000604479,0.12850824,0.012294704,0.004601172,0.027592775,0.012509889,0.000543081,0.006736345,0.006918028,0.986345589
bottlenecks/Clean clothes/Tops/graphictshirts1312.jpg.txt,0.016284324,0.00163332,0.73489213,0.007775751,0.016615184,0.005031464,0.163059965,0.002020169,0.001136759,0.001212354,0.000912739,0.001865625,0.001496541,0.044847179,0.000878305,0.00033812,0.735154331,0.002429663,0.057972062,0.009737382,0.040575832,0.013291159,0.004277265,0.008691105,0.026642328,0.005964002,0.001917009,0.005373044,0.003266016,0.003818497,0.004624553,0.004802522,0.071463168,0.976497173,0.021101276,5.89E-05,2.41E-06,0.000885682,0.001454507,0.940623343,0.150698081,0.98449254,0.005981374,0.046430599,0.179995582,0.059880223,0.057825003,0.702299178,0,0,0,0,0,0,0,0.001219607,0.009200233,0.007540879,0.002060229,0.002395567,0.017285598,0.00351867,0.000428843,0.001409183,0.009520571,0.989070177
bottlenecks/Clean clothes/Tops/solidtshirts14.jpg.txt,0.091409855,0.047024198,0.038816966,0.053813957,0.080364756,0.146028101,0.098850526,0.086092591,0.028981242,0.017886983,0.031343903,0.134752616,0.074350774,0.066489145,0.002823075,0.00097135,0.062794216,0.000718364,0.041139927,0.001259931,0.010718039,0.009523082,0.011757371,0.00214734,0.012299853,0.000547407,0.002834824,0.006954383,0.009181468,0.005385289,0.002125523,0.012230724,0.808382273,0.988461137,0.009303278,0.000363046,3.09E-05,0.000171987,0.00166964,0.056971856,0.039125707,0.979170799,0.022067899,0.121033214,0.027914848,0.122603506,0.092437558,0.757044077,0,0,0,0,0,0,0,0.001245212,0.005100849,0.015961886,0.002721648,0.004513798,0.010715759,0.003241371,0.000285415,0.005062711,0.015267868,0.979669452
bottlenecks/Clean clothes/Tops/shortsleeveshirts328.jpg.txt,0.07238102,0.149725303,0.002883615,0.007432307,0.513228715,0.063321725,0.009352942,0.010545863,0.026271431,0.110966504,0.016844258,0.000907449,0.000719243,0.01303601,0.000499669,0.001883935,0.02590869,0.004970319,0.066044159,0.000916661,0.000626272,0.006114483,0.010792544,0.00164701,0.001669214,0.001540902,9.73E-05,0.00082567,0.00016125,0.002109332,0.001278369,2.39E-05,0.875273943,0.01679183,0.000800054,0.835401237,0.140800133,0.000168226,0.006038585,0,0,0,0,0,0,0,0,0,0.615938842,0.039312255,0.000869139,0.608617961,0.043645002,0.867923737,0.132076278,0.007314806,0.003941828,0.038879149,0.021007543,0.011943912,0.152396709,0.015706511,0.003079526,0.184347451,0.001081536,0.814571023
bottlenecks/Clean clothes/Tops/graphictshirts476.jpg.txt,0.003511861,0.001333304,0.019461084,0.000325588,0.059645202,0.328525156,0.477301598,0.007213048,0.001559043,0.000259113,0.01379337,0.013953405,0.001889092,0.070796125,0.000314834,0.000118072,0.020907601,0.004901605,0.070524737,0.001907638,0.022367865,0.114572555,0.022054205,0.005355176,0.000727702,0.000180963,0.000187661,0.00906535,0.000861531,0.001194339,0.000715447,0.011467044,0.713008642,0.040516771,0.000425414,0.875204265,0.071685441,0.000126877,0.01204129,0,0,0,0,0,0,0,0,0,0.538643658,0.031024339,0.000452776,0.40615043,0.058832601,0.950884044,0.049115896,0.002145723,0.004066621,0.054711118,0.045581773,0.088536292,0.256927133,0.133568928,0.00115583,0.017061446,0.00179164,0.981146932
bottlenecks/Clean clothes/Tops/shortsleeveshirts268.jpg.txt,0.839801133,0.060225874,0.004899829,0.00097237,0.02441299,0.036394194,0.004225436,0.008342803,0.002786221,0.000215752,0.007514436,0.001290235,0.000166814,0.008367256,0.000165603,0.000218982,0.002578457,0.00072843,0.002738389,0.000445558,0.005533144,0.000882034,0.001347234,0.001771632,0.000149541,0.00015673,3.88E-06,0.000791249,0.000135678,0.000433141,0.000118064,0.00016826,0.98201859,0.000793446,0.000577358,0.735865235,0.255551904,0.000187505,0.007024575,0,0,0,0,0,0,0,0,0,0.226366445,0.178963408,0.002182141,0.401791096,0.04471682,0.918880403,0.08111956,0.003586011,0.002803636,0.00650304,0.015588337,0.006551211,0.017649358,0.005753592,0.000420938,0.006816547,0.006258789,0.986924648
bottlenecks/Clean clothes/Tops/shortsleeveshirts114.jpg.txt,0.001777672,3.36E-05,0.000616984,0.000398431,0.001902016,0.685142934,0.303157687,0.002394461,0.000386302,9.62E-06,0.001422953,2.36E-05,9.57E-05,0.002310668,0.000189005,0.000138237,0.045588452,0.003903522,0.037250247,0.001851894,0.010275118,0.026223222,0.010150645,0.01012628,0.000394046,0.001609089,0.000133263,0.006707401,0.000346422,0.006898204,0.010578339,0.000612727,0.827351213,0.017203223,0.001088451,0.909489393,0.060352609,0.0019825,0.009883841,0,0,0,0,0,0,0,0,0,0.251003534,0.116420224,0.000234369,0.71081996,0.050806794,0.736300111,0.263699979,0.000287513,0.000737616,0.026728986,0.005340284,0.007280433,0.014503144,0.016834643,0.002627497,0.074100047,0.00617138,0.919728577
bottlenecks/Clean clothes/Tops/checkshirts72.jpg.txt,0.000890789,0.000114767,0.052402303,0.00033148,0.012819761,0.194020867,0.679861605,0.000822384,0.002922674,0.001119499,0.004874294,0.028044812,0.001832213,0.019376302,1.20E-05,0.00055433,0.025910271,0.001307774,0.013688643,0.001230684,0.010493846,0.015859127,0.003044415,0.000256949,0.000119276,0.001801673,0.000101077,0.001521902,0.00031249,0.00012713,0.000747242,0.000107074,0.923370421,0.001510137,0.00011413,0.021198392,0.977020621,5.08E-06,0.000151701,0,0,0,0,0,0,0,0,0,0.10672088,0.055282023,0.000922686,0.555266082,0.064450271,0.705039561,0.294960409,0.0034434,0.000177128,0.089209482,0.063961625,0.843686461,0.077709168,0.263366401,0.092778847,0.06163156,0.001332016,0.937036455
bottlenecks/Clean clothes/Tops/polos70.jpg.txt,0.908028722,0.005823161,0.014494035,0.001011554,0.005772046,0.008447912,0.005732646,0.00490882,0.0029474,0.001312891,0.007484,0.021201298,0.000805903,0.004832683,0.002215313,0.004981692,0.00673419,0.001034604,0.005761299,0.000319811,0.00694899,0.001419057,0.002892789,7.18E-05,0.000171274,0.000974068,0.000145883,0.001713355,8.28E-05,4.73E-05,0.000953853,0.000272022,0.970457017,0.085138172,0.017435134,0.097486273,0.02194841,0.001369352,0.776622653,0.012487959,0.048021212,0.19500114,0.053229224,0.150501907,0.121248864,0.089150615,0.063624166,0.725976348,0,0,0,0,0,0,0,0.001417185,0.002197503,0.008792584,0.006343059,0.002208459,0.024816139,0.005506375,0.000648371,0.032948166,0.005874463,0.961177349
bottlenecks/Clean clothes/Tops/solidtshirts378.jpg.txt,0.013593503,0.009588626,0.001514358,0.003133592,0.945159912,0.016195668,0.001120856,0.001592203,0.001766853,0.002848771,0.000961847,0.000536631,0.000269593,0.001241168,7.59E-05,0.000400477,0.094010137,0.000866198,0.114731729,0.001751174,0.025869636,0.011160973,0.022620993,0.016208423,0.011621458,0.012011421,0.00221221,0.009997516,0.003089122,0.002281876,0.003601506,0.002314356,0.665651202,0.974569857,0.010127565,0.000572685,4.11E-06,0.002719038,0.012006835,0.028877383,0.024221478,0.949975789,0.010010419,0.143277004,0.085425817,0.235060826,0.0672305,0.612282813,0,0,0,0,0,0,0,0.001046889,0.019979825,0.10414286,0.006882023,0.003116731,0.031729333,0.017340919,0.000747087,0.007802762,0.005270171,0.986927092
bottlenecks/Clean clothes/Tops/graphictshirts871.jpg.txt,0.99128741,0.001524598,0.001056135,4.11E-05,0.001224383,0.00150758,0.000268935,0.001924697,0.000035777,7.05E-06,5.36E-05,0.000082882,2.50E-05,0.000424628,0.00045827,7.79E-05,0.028436691,0.000155229,0.91172576,0.000199336,0.005640679,0.004222756,0.004888906,0.009852343,0.002296902,0.00069196,0.0004212,0.017138884,0.001653573,0.004619965,0.003073413,0.003805422,0.001176989,0.97634536,0.006576625,7.66E-05,1.78E-06,0.007932644,0.009067108,0.930216193,0.699468553,0.929147959,0.000668337,0.013671758,0.193874493,0.149484471,0.231013611,0.42562744,0,0,0,0,0,0,0,0.001838873,0.000915161,0.001655613,0.001360122,0.001150459,0.001751764,0.00069412,9.96E-05,0.000416176,0.000962561,0.998621225
bottlenecks/Clean clothes/Tops/plainshirts3.jpg.txt,0.001913636,0.001366648,0.002787095,0.0054866,0.014856803,0.001292572,0.010892641,0.020520579,0.011728413,0.926479936,0.000079848,0.001150096,2.45E-05,0.001007053,0.000147281,0.000266333,0.002417599,0.000938302,0.020128042,0.000199231,0.000446044,0.000185937,0.002191643,0.000238938,0.000311927,0.00050577,2.22E-05,0.001444523,0.00019296,0.00025203,2.47E-05,0.000190269,0.970309973,0.000435322,0.0038336,0.010796462,0.976573825,0.000173752,0.008187009,0,0,0,0,0,0,0,0,0,0.045531631,0.268817335,0.002686681,0.892102003,0.108984724,0.659208298,0.340791732,0.004028592,0.005965733,0.015191746,0.009838966,0.00334359,0.056588735,0.089775391,0.010269779,0.332467407,0.031520609,0.636011958
bottlenecks/Clean clothes/Tops/shortsleeveshirts208.jpg.txt,0.000168127,0.000326383,0.055759966,0.003233046,0.005465892,0.021280592,0.891416133,0.001629558,0.012711246,0.000838137,0.000431503,0.000511075,0.00046913,0.004155662,4.86E-05,0.001554867,0.004538377,0.00051974,0.000466698,1.39E-05,0.000199949,7.40E-05,0.000104091,2.94E-05,0.000015018,0.000448569,3.29E-06,9.76E-05,1.79E-05,3.60E-05,2.17E-05,0.00000496,0.993408799,0.000998852,3.14E-05,0.967344344,0.030680593,9.53E-06,0.000935302,0,0,0,0,0,0,0,0,0,0.244587854,0.196027249,0.0011528,0.37449652,0.029734757,0.688300967,0.311699063,0.000691724,0.000483407,0.004176493,0.009658474,0.001740594,0.00852531,0.010833288,0.004402106,0.168469772,0.00024059,0.831289649
bottlenecks/Clean clothes/Tops/graphictshirts1089.jpg.txt,0.047576089,0.006129359,0.312600285,0.028574675,0.526640654,0.025885968,0.014540361,0.0046531,0.004011383,0.006925037,0.002281553,0.003462061,0.001927883,0.014371153,0.00021445,0.000205959,0.393170804,0.009919279,0.03680921,0.011284568,0.17565316,0.024021663,0.014079409,0.015343601,0.004454933,0.006392653,0.008821213,0.00298589,0.001595025,0.00304326,0.006912646,0.004965373,0.28054738,0.970753253,0.00071799,0.022546543,0.000124774,0.001336774,0.00452077,0.012433295,0.081590429,0.931472957,0.028977959,0.058517676,0.20834218,0.194405228,0.073588707,0.523663938,0,0,0,0,0,0,0,0.0028462,0.013752472,0.037045613,0.055027612,0.02684696,0.163285151,0.113023415,0.005806558,0.009914953,0.001955864,0.988129199
